drugbank_id,GenericName,SideEffectTerm,SOC,FrequencyRatingValue
DB00859,penicillamine,rash,Skin and subcutaneous tissue disorders,4
DB00859,penicillamine,proteinuria,Renal and urinary disorders,4
DB00709,lamivudine,asthenia,General disorders and administration site conditions,5
DB00709,lamivudine,fungal skin infection,Skin and subcutaneous tissue disorders,4
DB00709,lamivudine,fungal skin infection,Infections and infestations,4
DB00709,lamivudine,viral infection,Infections and infestations,4
DB00709,lamivudine,paraesthesia,Nervous system disorders,1
DB00709,lamivudine,feeling abnormal,General disorders and administration site conditions,5
DB00709,lamivudine,bronchitis,Infections and infestations,4
DB00709,lamivudine,bronchitis,"Respiratory, thoracic and mediastinal disorders",4
DB00709,lamivudine,dermatitis,Skin and subcutaneous tissue disorders,4
DB00709,lamivudine,blood creatine phosphokinase increased,Investigations,4
DB00709,lamivudine,nasopharyngitis,Infections and infestations,5
DB00709,lamivudine,nasopharyngitis,"Respiratory, thoracic and mediastinal disorders",5
DB00709,lamivudine,sinusitis,Infections and infestations,4
DB00709,lamivudine,sinusitis,"Respiratory, thoracic and mediastinal disorders",4
DB00709,lamivudine,flatulence,Gastrointestinal disorders,4
DB00709,lamivudine,lymphadenopathy,Blood and lymphatic system disorders,5
DB00709,lamivudine,diarrhoea,Gastrointestinal disorders,5
DB00709,lamivudine,respiratory tract infection,Infections and infestations,5
DB00709,lamivudine,respiratory tract infection,"Respiratory, thoracic and mediastinal disorders",5
DB00709,lamivudine,pancreatitis,Gastrointestinal disorders,2
DB00709,lamivudine,affective disorder,Psychiatric disorders,4
DB00709,lamivudine,gastrointestinal infection,Gastrointestinal disorders,4
DB00709,lamivudine,gastrointestinal infection,Infections and infestations,4
DB00709,lamivudine,hyperlactacidaemia,Metabolism and nutrition disorders,4
DB00709,lamivudine,folliculitis,Skin and subcutaneous tissue disorders,4
DB00709,lamivudine,folliculitis,Infections and infestations,4
DB00709,lamivudine,insomnia,Psychiatric disorders,4
DB00709,lamivudine,insomnia,Nervous system disorders,4
DB00709,lamivudine,cough,"Respiratory, thoracic and mediastinal disorders",5
DB00709,lamivudine,myalgia,Musculoskeletal and connective tissue disorders,4
DB00709,lamivudine,neutropenia,Blood and lymphatic system disorders,4
DB00709,lamivudine,abdominal distension,Gastrointestinal disorders,4
DB00709,lamivudine,aplasia pure red cell,Immune system disorders,1
DB00709,lamivudine,aplasia pure red cell,Blood and lymphatic system disorders,1
DB00709,lamivudine,hepatomegaly,Hepatobiliary disorders,5
DB00709,lamivudine,sleep disorder,Psychiatric disorders,4
DB00709,lamivudine,wheezing,"Respiratory, thoracic and mediastinal disorders",4
DB00709,lamivudine,splenomegaly,Blood and lymphatic system disorders,4
DB00709,lamivudine,lactic acidosis,Metabolism and nutrition disorders,2
DB00709,lamivudine,musculoskeletal pain,Musculoskeletal and connective tissue disorders,5
DB00709,lamivudine,ill-defined disorder,General disorders and administration site conditions,5
DB00709,lamivudine,hyperhidrosis,General disorders and administration site conditions,4
DB00709,lamivudine,hyperhidrosis,Skin and subcutaneous tissue disorders,4
DB00709,lamivudine,vomiting,Gastrointestinal disorders,4
DB00709,lamivudine,abdominal pain upper,Gastrointestinal disorders,4
DB00709,lamivudine,headache,Nervous system disorders,5
DB00709,lamivudine,neuropathy peripheral,Nervous system disorders,5
DB00709,lamivudine,body temperature increased,Investigations,5
DB00709,lamivudine,dizziness,Vascular disorders,4
DB00709,lamivudine,dizziness,Cardiac disorders,4
DB00709,lamivudine,dizziness,Nervous system disorders,4
DB00709,lamivudine,thrombocytopenia,Blood and lymphatic system disorders,3
DB00709,lamivudine,myopathy,Musculoskeletal and connective tissue disorders,4
DB00709,lamivudine,oropharyngeal pain,Gastrointestinal disorders,5
DB00709,lamivudine,oropharyngeal pain,"Respiratory, thoracic and mediastinal disorders",5
DB00709,lamivudine,respiration abnormal,"Respiratory, thoracic and mediastinal disorders",4
DB00709,lamivudine,dry mouth,Gastrointestinal disorders,4
DB00709,lamivudine,rhinorrhoea,"Respiratory, thoracic and mediastinal disorders",5
DB00709,lamivudine,oropharyngeal discomfort,Gastrointestinal disorders,5
DB00709,lamivudine,oropharyngeal discomfort,"Respiratory, thoracic and mediastinal disorders",5
DB00709,lamivudine,muscle spasms,Musculoskeletal and connective tissue disorders,4
DB00709,lamivudine,nausea,Gastrointestinal disorders,5
DB00709,lamivudine,depression,Psychiatric disorders,4
DB00709,lamivudine,acne,Skin and subcutaneous tissue disorders,4
DB00709,lamivudine,respiratory disorder,"Respiratory, thoracic and mediastinal disorders",4
DB00709,lamivudine,discomfort,General disorders and administration site conditions,5
DB00709,lamivudine,fatigue,General disorders and administration site conditions,5
DB00709,lamivudine,arthralgia,Musculoskeletal and connective tissue disorders,4
DB00709,lamivudine,chills,Musculoskeletal and connective tissue disorders,5
DB00709,lamivudine,chills,General disorders and administration site conditions,5
DB00709,lamivudine,anaemia,Blood and lymphatic system disorders,4
DB00709,lamivudine,alopecia,Skin and subcutaneous tissue disorders,4
DB00709,lamivudine,breath sounds abnormal,Investigations,4
DB00709,lamivudine,stomatitis,Gastrointestinal disorders,4
DB00709,lamivudine,rash,Skin and subcutaneous tissue disorders,4
DB00709,lamivudine,malaise,General disorders and administration site conditions,5
DB00709,lamivudine,abdominal pain,Gastrointestinal disorders,4
DB00709,lamivudine,angioedema,Immune system disorders,2
DB00709,lamivudine,angioedema,Skin and subcutaneous tissue disorders,2
DB00709,lamivudine,angioedema,"Respiratory, thoracic and mediastinal disorders",2
DB00709,lamivudine,mouth ulceration,Gastrointestinal disorders,4
DB00709,lamivudine,musculoskeletal discomfort,Musculoskeletal and connective tissue disorders,4
DB00709,lamivudine,inflammation,General disorders and administration site conditions,4
DB00709,lamivudine,pruritus,Skin and subcutaneous tissue disorders,4
DB01076,atorvastatin,asthenia,General disorders and administration site conditions,4
DB01076,atorvastatin,pharyngitis,Gastrointestinal disorders,4
DB01076,atorvastatin,pharyngitis,Infections and infestations,4
DB01076,atorvastatin,pharyngitis,"Respiratory, thoracic and mediastinal disorders",4
DB01076,atorvastatin,dermatitis,Skin and subcutaneous tissue disorders,4
DB01076,atorvastatin,nasopharyngitis,Infections and infestations,4
DB01076,atorvastatin,nasopharyngitis,"Respiratory, thoracic and mediastinal disorders",4
DB01076,atorvastatin,sinusitis,Infections and infestations,4
DB01076,atorvastatin,sinusitis,"Respiratory, thoracic and mediastinal disorders",4
DB01076,atorvastatin,laryngeal pain,"Respiratory, thoracic and mediastinal disorders",4
DB01076,atorvastatin,insomnia,Psychiatric disorders,4
DB01076,atorvastatin,insomnia,Nervous system disorders,4
DB01076,atorvastatin,myalgia,Musculoskeletal and connective tissue disorders,4
DB01076,atorvastatin,alanine aminotransferase increased,Investigations,3
DB01076,atorvastatin,musculoskeletal pain,Musculoskeletal and connective tissue disorders,4
DB01076,atorvastatin,influenza,Infections and infestations,4
DB01076,atorvastatin,influenza,"Respiratory, thoracic and mediastinal disorders",4
DB01076,atorvastatin,urinary tract infection,Infections and infestations,4
DB01076,atorvastatin,urinary tract infection,Renal and urinary disorders,4
DB01076,atorvastatin,pain in extremity,Musculoskeletal and connective tissue disorders,4
DB01076,atorvastatin,muscle spasms,Musculoskeletal and connective tissue disorders,4
DB01076,atorvastatin,gastrointestinal pain,Gastrointestinal disorders,4
DB01076,atorvastatin,rash,Skin and subcutaneous tissue disorders,4
DB01076,atorvastatin,abdominal pain,Gastrointestinal disorders,4
DB01076,atorvastatin,musculoskeletal discomfort,Musculoskeletal and connective tissue disorders,4
DB01202,levetiracetam,aggression,Psychiatric disorders,5
DB01202,levetiracetam,asthenia,General disorders and administration site conditions,5
DB01202,levetiracetam,decreased appetite,Metabolism and nutrition disorders,4
DB01202,levetiracetam,decreased appetite,General disorders and administration site conditions,4
DB01202,levetiracetam,viral infection,Infections and infestations,4
DB01202,levetiracetam,somnolence,Psychiatric disorders,4
DB01202,levetiracetam,somnolence,Nervous system disorders,4
DB01202,levetiracetam,paraesthesia,Nervous system disorders,4
DB01202,levetiracetam,nasal congestion,"Respiratory, thoracic and mediastinal disorders",4
DB01202,levetiracetam,constipation,Gastrointestinal disorders,4
DB01202,levetiracetam,feeling abnormal,General disorders and administration site conditions,4
DB01202,levetiracetam,pharyngitis,Gastrointestinal disorders,4
DB01202,levetiracetam,pharyngitis,Infections and infestations,4
DB01202,levetiracetam,pharyngitis,"Respiratory, thoracic and mediastinal disorders",4
DB01202,levetiracetam,anxiety,Psychiatric disorders,4
DB01202,levetiracetam,coordination abnormal,Nervous system disorders,4
DB01202,levetiracetam,disturbance in attention,Psychiatric disorders,4
DB01202,levetiracetam,disturbance in attention,Nervous system disorders,4
DB01202,levetiracetam,hostility,Psychiatric disorders,4
DB01202,levetiracetam,chest pain,General disorders and administration site conditions,4
DB01202,levetiracetam,chest pain,"Respiratory, thoracic and mediastinal disorders",4
DB01202,levetiracetam,chest pain,Cardiac disorders,4
DB01202,levetiracetam,nasopharyngitis,Infections and infestations,5
DB01202,levetiracetam,nasopharyngitis,"Respiratory, thoracic and mediastinal disorders",5
DB01202,levetiracetam,urine analysis abnormal,Investigations,4
DB01202,levetiracetam,balance disorder,Nervous system disorders,4
DB01202,levetiracetam,sinusitis,Infections and infestations,4
DB01202,levetiracetam,sinusitis,"Respiratory, thoracic and mediastinal disorders",4
DB01202,levetiracetam,diplopia,Eye disorders,4
DB01202,levetiracetam,diplopia,Nervous system disorders,4
DB01202,levetiracetam,rhinitis,Infections and infestations,4
DB01202,levetiracetam,rhinitis,"Respiratory, thoracic and mediastinal disorders",4
DB01202,levetiracetam,ecchymosis,Vascular disorders,4
DB01202,levetiracetam,ecchymosis,Blood and lymphatic system disorders,4
DB01202,levetiracetam,ecchymosis,Skin and subcutaneous tissue disorders,4
DB01202,levetiracetam,personality disorder,Psychiatric disorders,4
DB01202,levetiracetam,laryngeal pain,"Respiratory, thoracic and mediastinal disorders",4
DB01202,levetiracetam,psychotic disorder,Psychiatric disorders,4
DB01202,levetiracetam,diarrhoea,Gastrointestinal disorders,4
DB01202,levetiracetam,rash pustular,Skin and subcutaneous tissue disorders,4
DB01202,levetiracetam,rash pustular,Infections and infestations,4
DB01202,levetiracetam,confusional state,Psychiatric disorders,4
DB01202,levetiracetam,confusional state,Nervous system disorders,4
DB01202,levetiracetam,cough,"Respiratory, thoracic and mediastinal disorders",4
DB01202,levetiracetam,gastroenteritis,Gastrointestinal disorders,4
DB01202,levetiracetam,gastroenteritis,Infections and infestations,4
DB01202,levetiracetam,skin discolouration,Skin and subcutaneous tissue disorders,4
DB01202,levetiracetam,myalgia,Musculoskeletal and connective tissue disorders,4
DB01202,levetiracetam,gingivitis,Gastrointestinal disorders,4
DB01202,levetiracetam,gingivitis,Infections and infestations,4
DB01202,levetiracetam,pain,General disorders and administration site conditions,4
DB01202,levetiracetam,weight increased,Investigations,4
DB01202,levetiracetam,lethargy,General disorders and administration site conditions,4
DB01202,levetiracetam,lethargy,Psychiatric disorders,4
DB01202,levetiracetam,lethargy,Nervous system disorders,4
DB01202,levetiracetam,mental disability,Social circumstances,4
DB01202,levetiracetam,ligament sprain,Musculoskeletal and connective tissue disorders,4
DB01202,levetiracetam,ligament sprain,"Injury, poisoning and procedural complications",4
DB01202,levetiracetam,ear pain,Ear and labyrinth disorders,4
DB01202,levetiracetam,dehydration,Metabolism and nutrition disorders,4
DB01202,levetiracetam,dermatitis bullous,Skin and subcutaneous tissue disorders,4
DB01202,levetiracetam,amblyopia,Eye disorders,4
DB01202,levetiracetam,albuminuria,Renal and urinary disorders,4
DB01202,levetiracetam,vertigo,Ear and labyrinth disorders,4
DB01202,levetiracetam,vertigo,Nervous system disorders,4
DB01202,levetiracetam,otitis media,Infections and infestations,4
DB01202,levetiracetam,otitis media,Ear and labyrinth disorders,4
DB01202,levetiracetam,influenza,Infections and infestations,4
DB01202,levetiracetam,influenza,"Respiratory, thoracic and mediastinal disorders",4
DB01202,levetiracetam,conjunctivitis,Eye disorders,4
DB01202,levetiracetam,conjunctivitis,Infections and infestations,4
DB01202,levetiracetam,injury,"Injury, poisoning and procedural complications",5
DB01202,levetiracetam,abdominal pain upper,Gastrointestinal disorders,4
DB01202,levetiracetam,headache,Nervous system disorders,5
DB01202,levetiracetam,gastrointestinal disorder,Gastrointestinal disorders,4
DB01202,levetiracetam,dizziness,Vascular disorders,4
DB01202,levetiracetam,dizziness,Cardiac disorders,4
DB01202,levetiracetam,dizziness,Nervous system disorders,4
DB01202,levetiracetam,thrombocytopenia,Blood and lymphatic system disorders,4
DB01202,levetiracetam,asthma,Immune system disorders,4
DB01202,levetiracetam,asthma,"Respiratory, thoracic and mediastinal disorders",4
DB01202,levetiracetam,memory impairment,Psychiatric disorders,4
DB01202,levetiracetam,memory impairment,Nervous system disorders,4
DB01202,levetiracetam,amnesia,Psychiatric disorders,4
DB01202,levetiracetam,amnesia,Nervous system disorders,4
DB01202,levetiracetam,thinking abnormal,Psychiatric disorders,4
DB01202,levetiracetam,thinking abnormal,Nervous system disorders,4
DB01202,levetiracetam,affect lability,Psychiatric disorders,4
DB01202,levetiracetam,agitation,Psychiatric disorders,4
DB01202,levetiracetam,agitation,Nervous system disorders,4
DB01202,levetiracetam,eczema,Skin and subcutaneous tissue disorders,4
DB01202,levetiracetam,depressed mood,Psychiatric disorders,4
DB01202,levetiracetam,hyperreflexia,Nervous system disorders,4
DB01202,levetiracetam,nervousness,Psychiatric disorders,4
DB01202,levetiracetam,vision blurred,Eye disorders,4
DB01202,levetiracetam,vision blurred,Nervous system disorders,4
DB01202,levetiracetam,nausea,Gastrointestinal disorders,4
DB01202,levetiracetam,neck pain,Musculoskeletal and connective tissue disorders,4
DB01202,levetiracetam,depression,Psychiatric disorders,4
DB01202,levetiracetam,face oedema,Immune system disorders,4
DB01202,levetiracetam,face oedema,General disorders and administration site conditions,4
DB01202,levetiracetam,face oedema,Skin and subcutaneous tissue disorders,4
DB01202,levetiracetam,infection,Infections and infestations,5
DB01202,levetiracetam,hypersomnia,Psychiatric disorders,4
DB01202,levetiracetam,hypersomnia,Nervous system disorders,4
DB01202,levetiracetam,tension,Psychiatric disorders,4
DB01202,levetiracetam,fatigue,General disorders and administration site conditions,5
DB01202,levetiracetam,arthralgia,Musculoskeletal and connective tissue disorders,4
DB01202,levetiracetam,irritability,General disorders and administration site conditions,4
DB01202,levetiracetam,irritability,Psychiatric disorders,4
DB01202,levetiracetam,tooth disorder,Gastrointestinal disorders,4
DB01202,levetiracetam,abnormal behaviour,Psychiatric disorders,4
DB01202,levetiracetam,urine abnormality,Renal and urinary disorders,4
DB01202,levetiracetam,contusion,Musculoskeletal and connective tissue disorders,4
DB01202,levetiracetam,contusion,Vascular disorders,4
DB01202,levetiracetam,contusion,Skin and subcutaneous tissue disorders,4
DB01202,levetiracetam,contusion,"Injury, poisoning and procedural complications",4
DB01202,levetiracetam,mood swings,Psychiatric disorders,4
DB01202,levetiracetam,ataxia,General disorders and administration site conditions,4
DB01202,levetiracetam,ataxia,Nervous system disorders,4
DB01202,levetiracetam,musculoskeletal discomfort,Musculoskeletal and connective tissue disorders,4
DB01202,levetiracetam,pruritus,Skin and subcutaneous tissue disorders,4
DB00972,azelastine,asthenia,General disorders and administration site conditions,4
DB00972,azelastine,somnolence,Psychiatric disorders,4
DB00972,azelastine,somnolence,Nervous system disorders,4
DB00972,azelastine,pharyngitis,Gastrointestinal disorders,4
DB00972,azelastine,pharyngitis,Infections and infestations,4
DB00972,azelastine,pharyngitis,"Respiratory, thoracic and mediastinal disorders",4
DB00972,azelastine,sinusitis,Infections and infestations,4
DB00972,azelastine,sinusitis,"Respiratory, thoracic and mediastinal disorders",4
DB00972,azelastine,rhinitis,Infections and infestations,4
DB00972,azelastine,rhinitis,"Respiratory, thoracic and mediastinal disorders",4
DB00972,azelastine,sneezing,"Respiratory, thoracic and mediastinal disorders",4
DB00972,azelastine,weight increased,Investigations,4
DB00972,azelastine,upper respiratory tract infection,Infections and infestations,4
DB00972,azelastine,upper respiratory tract infection,"Respiratory, thoracic and mediastinal disorders",4
DB00972,azelastine,dysgeusia,Gastrointestinal disorders,4
DB00972,azelastine,dysgeusia,Nervous system disorders,4
DB00972,azelastine,nasal discomfort,"Respiratory, thoracic and mediastinal disorders",4
DB00972,azelastine,dizziness,Vascular disorders,4
DB00972,azelastine,dizziness,Cardiac disorders,4
DB00972,azelastine,dizziness,Nervous system disorders,4
DB00972,azelastine,dry mouth,Gastrointestinal disorders,4
DB00972,azelastine,nausea,Gastrointestinal disorders,4
DB00972,azelastine,fatigue,General disorders and administration site conditions,4
DB00972,azelastine,dysaesthesia,Nervous system disorders,4
DB00972,azelastine,epistaxis,Vascular disorders,4
DB00972,azelastine,epistaxis,"Respiratory, thoracic and mediastinal disorders",4
DB00993,azathioprine,leukopenia,Blood and lymphatic system disorders,5
DB00993,azathioprine,colitis,Gastrointestinal disorders,1
DB00993,azathioprine,pneumonia,Infections and infestations,1
DB00993,azathioprine,pneumonia,"Respiratory, thoracic and mediastinal disorders",1
DB00993,azathioprine,liver injury,Hepatobiliary disorders,2
DB00993,azathioprine,liver injury,"Injury, poisoning and procedural complications",2
DB00993,azathioprine,stevens-johnson syndrome,Immune system disorders,1
DB00993,azathioprine,stevens-johnson syndrome,Skin and subcutaneous tissue disorders,1
DB00993,azathioprine,stevens-johnson syndrome,Infections and infestations,1
DB00993,azathioprine,stevens-johnson syndrome,"Injury, poisoning and procedural complications",1
DB00993,azathioprine,lymphoma,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",3
DB00993,azathioprine,lymphoma,Blood and lymphatic system disorders,3
DB00993,azathioprine,hepatocellular injury,Hepatobiliary disorders,2
DB00993,azathioprine,aplastic anaemia,Blood and lymphatic system disorders,2
DB00993,azathioprine,erythema multiforme,Immune system disorders,1
DB00993,azathioprine,erythema multiforme,Skin and subcutaneous tissue disorders,1
DB00993,azathioprine,diarrhoea,Gastrointestinal disorders,1
DB00993,azathioprine,pancreatitis,Gastrointestinal disorders,3
DB00993,azathioprine,non-hodgkin's lymphoma,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",3
DB00993,azathioprine,non-hodgkin's lymphoma,Blood and lymphatic system disorders,3
DB00993,azathioprine,diverticulitis,Gastrointestinal disorders,1
DB00993,azathioprine,diverticulitis,Infections and infestations,1
DB00993,azathioprine,agranulocytosis,Blood and lymphatic system disorders,2
DB00993,azathioprine,pancytopenia,Blood and lymphatic system disorders,2
DB00993,azathioprine,thrombocytopenia,Blood and lymphatic system disorders,4
DB00993,azathioprine,anaemia megaloblastic,Metabolism and nutrition disorders,2
DB00993,azathioprine,anaemia megaloblastic,Blood and lymphatic system disorders,2
DB00993,azathioprine,toxic epidermal necrolysis,Immune system disorders,1
DB00993,azathioprine,toxic epidermal necrolysis,Skin and subcutaneous tissue disorders,1
DB00993,azathioprine,toxic epidermal necrolysis,Infections and infestations,1
DB00993,azathioprine,toxic epidermal necrolysis,"Injury, poisoning and procedural complications",1
DB00993,azathioprine,intestinal perforation,Gastrointestinal disorders,1
DB00993,azathioprine,infection,Infections and infestations,5
DB00993,azathioprine,anaemia,Blood and lymphatic system disorders,3
DB00993,azathioprine,alopecia,Skin and subcutaneous tissue disorders,2
DB01558,bromazepam,somnolence,Psychiatric disorders,5
DB01558,bromazepam,somnolence,Nervous system disorders,5
DB01558,bromazepam,feeling abnormal,General disorders and administration site conditions,4
DB01558,bromazepam,confusional state,Psychiatric disorders,4
DB01558,bromazepam,confusional state,Nervous system disorders,4
DB01558,bromazepam,sleep disorder,Psychiatric disorders,4
DB01558,bromazepam,vomiting,Gastrointestinal disorders,4
DB01558,bromazepam,headache,Nervous system disorders,4
DB01558,bromazepam,gastrointestinal disorder,Gastrointestinal disorders,4
DB01558,bromazepam,speech disorder,"Respiratory, thoracic and mediastinal disorders",4
DB01558,bromazepam,speech disorder,Psychiatric disorders,4
DB01558,bromazepam,speech disorder,Nervous system disorders,4
DB01558,bromazepam,dizziness,Vascular disorders,4
DB01558,bromazepam,dizziness,Cardiac disorders,4
DB01558,bromazepam,dizziness,Nervous system disorders,4
DB01558,bromazepam,nausea,Gastrointestinal disorders,4
DB01558,bromazepam,dyspepsia,Gastrointestinal disorders,4
DB01558,bromazepam,ataxia,General disorders and administration site conditions,5
DB01558,bromazepam,ataxia,Nervous system disorders,5
DB01223,aminophylline,disorientation,Psychiatric disorders,4
DB01223,aminophylline,disorientation,Nervous system disorders,4
DB01223,aminophylline,ventricular extrasystoles,Cardiac disorders,5
DB01223,aminophylline,ventricular arrhythmia,Cardiac disorders,5
DB01223,aminophylline,haematemesis,Gastrointestinal disorders,4
DB01223,aminophylline,haematemesis,Vascular disorders,4
DB01223,aminophylline,rhabdomyolysis,Musculoskeletal and connective tissue disorders,4
DB01223,aminophylline,diarrhoea,Gastrointestinal disorders,4
DB01223,aminophylline,atrial fibrillation,Cardiac disorders,4
DB01223,aminophylline,vomiting,Gastrointestinal disorders,5
DB01223,aminophylline,cardiac flutter,Cardiac disorders,4
DB01223,aminophylline,supraventricular tachycardia,Cardiac disorders,5
DB01223,aminophylline,nervousness,Psychiatric disorders,5
DB01223,aminophylline,shock,Vascular disorders,5
DB01223,aminophylline,tremor,Nervous system disorders,5
DB01223,aminophylline,tension,Psychiatric disorders,5
DB01223,aminophylline,hyperglycaemia,Metabolism and nutrition disorders,5
DB01223,aminophylline,hyperglycaemia,Endocrine disorders,5
DB01223,aminophylline,gastrointestinal pain,Gastrointestinal disorders,5
DB01223,aminophylline,hypokalaemia,Metabolism and nutrition disorders,5
DB01223,aminophylline,sinus tachycardia,Cardiac disorders,5
DB01223,aminophylline,abdominal pain,Gastrointestinal disorders,5
DB01223,aminophylline,hypotension,Vascular disorders,5
DB00932,tipranavir,asthenia,General disorders and administration site conditions,4
DB00932,tipranavir,decreased appetite,Metabolism and nutrition disorders,4
DB00932,tipranavir,decreased appetite,General disorders and administration site conditions,4
DB00932,tipranavir,somnolence,Psychiatric disorders,3
DB00932,tipranavir,somnolence,Nervous system disorders,3
DB00932,tipranavir,feeling abnormal,General disorders and administration site conditions,3
DB00932,tipranavir,dermatitis,Skin and subcutaneous tissue disorders,4
DB00932,tipranavir,renal failure,Renal and urinary disorders,3
DB00932,tipranavir,herpes zoster,Skin and subcutaneous tissue disorders,3
DB00932,tipranavir,herpes zoster,Infections and infestations,3
DB00932,tipranavir,herpes zoster,Nervous system disorders,3
DB00932,tipranavir,flatulence,Gastrointestinal disorders,4
DB00932,tipranavir,hepatic steatosis,Hepatobiliary disorders,3
DB00932,tipranavir,hepatic steatosis,Metabolism and nutrition disorders,3
DB00932,tipranavir,herpes simplex,Skin and subcutaneous tissue disorders,3
DB00932,tipranavir,herpes simplex,Infections and infestations,3
DB00932,tipranavir,hepatobiliary disease,Hepatobiliary disorders,3
DB00932,tipranavir,diarrhoea,Gastrointestinal disorders,5
DB00932,tipranavir,pancreatitis,Gastrointestinal disorders,2
DB00932,tipranavir,dyspnoea,"Respiratory, thoracic and mediastinal disorders",4
DB00932,tipranavir,dyspnoea,Cardiac disorders,4
DB00932,tipranavir,hypersensitivity,Immune system disorders,3
DB00932,tipranavir,insomnia,Psychiatric disorders,4
DB00932,tipranavir,insomnia,Nervous system disorders,4
DB00932,tipranavir,lipase increased,Investigations,3
DB00932,tipranavir,gastrooesophageal reflux disease,Gastrointestinal disorders,3
DB00932,tipranavir,renal impairment,Renal and urinary disorders,3
DB00932,tipranavir,cough,"Respiratory, thoracic and mediastinal disorders",4
DB00932,tipranavir,gastroenteritis,Gastrointestinal disorders,1
DB00932,tipranavir,gastroenteritis,Infections and infestations,1
DB00932,tipranavir,myalgia,Musculoskeletal and connective tissue disorders,4
DB00932,tipranavir,neutropenia,Blood and lymphatic system disorders,4
DB00932,tipranavir,abdominal distension,Gastrointestinal disorders,4
DB00932,tipranavir,alanine aminotransferase increased,Investigations,4
DB00932,tipranavir,mediastinal disorder,"Respiratory, thoracic and mediastinal disorders",3
